A	Coef.BasalvsLP	Coef.BasalvsML	Coef.LPvsML	t.BasalvsLP	t.BasalvsML	t.LPvsML	p.value.BasalvsLP	p.value.BasalvsML	p.value.LPvsML	Res.BasalvsLP	Res.BasalvsML	Res.LPvsML	Genes.ENTREZID	Genes.SYMBOL	Genes.TXCHROM
497097	-1.77882649312417	7.4393712026409	6.9446539891543	-0.494717213486601	12.0415074379164	12.4112628561265	0	8.00690735260132e-07	6.197302224985e-07	0.809966137873192	1	1	0	497097	Xkr4	chr1
20671	-1.41863984193466	2.93090015573714	2.29483780632153	-0.636062349415607	2.11804150339921	1.4897997011477	0	0.0339476804669659	0.0889569890833746	0.705085301302595	0	0	0	20671	Sox17	chr1
27395	4.20689271826405	0.469716977346532	0.0112130156729116	-0.45850396167362	0	0	0	0.984295506057918	0.999937001550468	0.987913001041733	0	0	0	27395	Mrpl15	chr1
18777	5.28049221636236	0.279393369072927	-0.39301173156351	-0.672405100636436	0	0	0	0.999226933253417	0.998106899056921	0.972021061108719	0	0	0	18777	Lypla1	chr1
21399	4.99943989278063	0.35764560030966	0.382314720434858	0.024669120125199	0	0	0	0.999373066554086	0.999246332249391	0.999991903567394	0	0	0	21399	Tcea1	chr1
58175	1.60897335448273	-5.50062768549913	-5.04998074674897	0.450646938750155	-17.7392542702909	-15.9403369346281	0	3.31272550970217e-08	7.82415294878246e-08	0.996898816701064	-1	-1	0	58175	Rgs20	chr1
108664	5.76090213620451	-0.827869786989405	-1.05801847720315	-0.230148690213743	0	-0.457992690179987	0	0.894302599045229	0.329316237340216	0.999924241288125	0	0	0	108664	Atp6v1h	chr1
12421	6.29252775566967	-0.945182596324326	-0.341566026440304	0.603616569884022	0	0	0	0.642798349336938	0.999163121361765	0.990967644503278	0	0	0	12421	Rb1cc1	chr1
319263	5.95214881940666	-0.0870103561763509	0.143609654562415	0.230620010738765	0	0	0	0.99992037840422	0.999849000343868	0.99977593903799	0	0	0	319263	Pcmtd1	chr1
59014	5.6055180962507	1.0041660476836	1.29181560605611	0.287649558372516	0.0206195866566557	1.44465484927269	0	0.492019791343111	0.0924927807721828	0.997160560491785	0	0	0	59014	Rrs1	chr1
76187	0.506484750949736	-1.32591294529519	-1.3755725115586	-0.0496595662634141	-1.0446816239632	-1.23042270734964	0	0.16275148525531	0.126044424187963	0.99817189950665	0	0	0	76187	Adhfe1	chr1
72481	-1.10338237392226	-1.1083768945701	-1.812049960418	-0.703673065847905	-0.304369581252135	-2.38022390112418	0	0.384293387265073	0.0216382915059169	0.81369313801586	0	0	0	72481	2610203C22Rik	chr1
76982	-0.957688378361825	-0.312661074719686	0.567840861304202	0.880501936023888	0	0	0	0.942293863542185	0.836559313574152	0.613300787388255	0	0	0	76982	Vxn	chr1
17864	3.15117765298934	0.843534939174167	1.31189776356033	0.468362824386158	0	1.39330683680767	0	0.750498720399881	0.0997370027946809	0.976849681339512	0	0	0	17864	Mybl1	chr1
70675	6.09896219526204	-0.342498529869011	-0.0420150916537834	0.300483438215227	0	0	0	0.99871701853769	0.999949767058983	0.999416300013454	0	0	0	70675	Vcpip1	chr1
